file_name,difficulty_score
001,0.17941666666666664
002,0.18503305233357736
003,0.18671160926196465
004,0.17041666666666677
005,0.17041666666666677
006,0.1394166666666666
007,0.16941666666666666
008,0.16084867704382605
009,0.16492188304697675
010,0.14841666666666664
011,0.1754166666666667
012,0.1659227285810534
013,0.1825010390007259
014,0.19050744314366727
015,0.1746480828179018
016,0.16841666666666666
017,0.15741666666666662
018,0.24641666666666673
019,0.19341666666666668
020,0.1904166666666667
021,0.19441666666666668
022,0.20041666666666666
023,0.19441666666666668
024,0.15841666666666673
025,0.15641666666666673
026,0.1394166666666666
027,0.1394166666666666
028,0.1394166666666666
029,0.1394166666666666
030,0.1394166666666666
031,0.1394166666666666
032,0.17841666666666667
033,0.14159097171603477
034,0.17061513623866653
035,0.16441666666666666
036,0.17148614306142393
037,0.1562286339465392
038,0.1394166666666666
039,0.1594166666666667
